  9.9386605725727251E-01   5.6598112022972491E-01   5.6597981283947818E-01   5.6597966579250503E-01   5.6597956977509789E-01
  1.5334707933194916E-03   4.3385662926643098E-01   5.4015295378211592E-05   5.4022677019502823E-05   5.4028417330669187E-05
  1.5334907853068983E-03   5.4023079284904015E-05   5.4080121366849354E-05   5.4080286902394194E-05   4.3385817949694172E-01
  1.5334904096712344E-03   5.4017662666287391E-05   5.4080275595209038E-05   4.3385809197926151E-01   5.4080610411005593E-05
  1.5334898942215487E-03   5.4010777796512038E-05   4.3385795646454939E-01   5.4080772332539147E-05   5.4080941613367950E-05
  2.8735130974950049E-10   7.4661478411939607E-08   1.5150823500273326E-08   1.6579508407100349E-08   1.7619299129115237E-08
  6.3442298011172785E-12   3.0007254148067855E-10   2.8387270655410458E-10   3.1340506045942601E-10   3.3487620597198678E-10
  2.3505055187665474E-10   4.5596793466063790E-08   1.8768221224108865E-08   2.0422675498748483E-08   8.9929339497053429E-09
  1.9014198463472583E-10   4.1685319081772175E-08   1.6154517547489281E-08   6.8708052926232686E-09   1.8642273230988952E-08
  1.4132211248775580E-10   3.6740429542458697E-08   4.6462005866307886E-09   1.4305580985216485E-08   1.5169222019334602E-08
